RackNo;Title;Publisher;Genre;ReturnDay;ReturnMonth
0;Fundamentals of Wavelets;Wiley;tech;0;0
0;Data Smart;Wiley;tech;0;0
0;God Created the Integers;Penguin;tech;0;0
0;Superfreakonomics;HarperCollins;science;0;0
0;Orientalism;Penguin;nonfiction;0;0
0;Nature of Statistical Learning Theory, The;Springer;tech;0;0
0;Integration of the Indian States;Orient Blackswan;nonfiction;0;0
0;Drunkard's Walk, The;Penguin;science;0;0
0;Image Processing & Mathematical Morphology;CRC;tech;0;0
0;How to Think Like Sherlock Holmes;Penguin;nonfiction;0;0
0;Data Scientists at Work;Apress;tech;0;0
0;Slaughterhouse Five;Random House;fiction;0;0
0;Birth of a Theorem;Bodley Head;science;0;0
0;Structure & Interpretation of Computer Programs;MIT Press;tech;0;0
0;Age of Wrath, The;Penguin;nonfiction;0;0
0;Trial, The;Random House;fiction;0;0
0;Statistical Decision Theory';MIT Press;tech;0;0
0;Data Mining Handbook;Apress;tech;0;0
0;New Machiavelli, The;Penguin;fiction;0;0
0;Physics & Philosophy;Penguin;philosophy;0;0
0;Making Software;O'Reilly;tech;0;0
0;Analysis, Vol I;HBA;tech;0;0
0;Machine Learning for Hackers;O'Reilly;tech;0;0
0;Signal and the Noise, The;Penguin;tech;0;0
0;Python for Data Analysis;O'Reilly;tech;0;0
0;Introduction to Algorithms;MIT Press;tech;0;0
0;Beautiful and the Damned, The;Penguin;nonfiction;0;0
0;Outsider, The;Penguin;fiction;0;0
0;Complete Sherlock Holmes, The - Vol I;Random House;fiction;0;0
0;Complete Sherlock Holmes, The - Vol II;Random House;fiction;0;0
0;Wealth of Nations, The;Random House;science;0;0
0;Pillars of the Earth, The;Random House;fiction;0;0
0;Mein Kampf;Rupa;nonfiction;0;0
0;Tao of Physics, The;Penguin;science;0;0
0;Surely You're Joking Mr Feynman;Random House;science;0;0
0;Farewell to Arms, A;Rupa;fiction;0;0
0;Veteran, The;Transworld;fiction;0;0
0;False Impressions;Pan;fiction;0;0
0;Last Lecture, The;Hyperion;nonfiction;0;0
0;Return of the Primitive;Penguin;philosophy;0;0
0;Jurassic Park;Random House;fiction;0;0
